#FIELD: aquarius_u67203   PHOTOMETRY VERSION: phot-2.03
#REFERENCE POSITION (for DRA, DDEC):   311.720833  -12.847500 (J2000)
#ADOPTED GALAXY CENTER (for DRACEN, DDECCEN):   311.716248  -12.847500 (J2000)
#FLAG  f606w  E(f606w)  CROWD1  f814w  E(f814w)  CROWD2  CHIP  X  Y  DRA  DDEC  DRACEN  DDECCEN  RA(J2000)  DEC  
   355  23.891   0.170   0.035  99.999   0.000   0.000   1  767.89  584.14  -47.160  -82.011    -30.653    -82.011  20:46:49.86  -12:52:13.0
   227  99.999   0.000   0.000  22.731   0.207   0.003   1  536.83  452.91  -43.347  -70.618    -26.840    -70.618  20:46:50.11  -12:52:01.6
   355  24.166   0.211   0.022  99.999   0.000   0.000   1  754.99  401.00  -38.959  -79.808    -22.452    -79.808  20:46:50.40  -12:52:10.8
   355  24.120   0.133   0.002  99.999   0.000   0.000   1  606.22  513.98  -45.485  -74.253    -28.978    -74.253  20:46:49.97  -12:52:05.3
   355  23.730   0.131   0.000  99.999   0.000   0.000   1  471.93  227.37  -33.656  -65.670    -17.148    -65.670  20:46:50.76  -12:51:56.7
   355  24.204   0.127   0.000  99.999   0.000   0.000   1  261.72  385.20  -42.811  -57.735    -26.303    -57.735  20:46:50.15  -12:51:48.7
   355  24.218   0.144   0.000  99.999   0.000   0.000   1  586.91  689.07  -53.623  -74.957    -37.116    -74.957  20:46:49.43  -12:52:06.0
   227  99.999   0.000   0.000  22.745   0.213   0.000   1  769.50  274.41  -33.073  -79.289    -16.565    -79.289  20:46:50.80  -12:52:10.3
   355  23.942   0.171  -0.001  99.999   0.000   0.000   1  343.28  589.55  -51.378  -63.231    -34.871    -63.231  20:46:49.57  -12:51:54.2
   227  99.999   0.000   0.000  22.982   0.187   0.000   1  148.73  593.38  -53.332  -54.615    -36.825    -54.615  20:46:49.44  -12:51:45.6
   355  24.252   0.192   0.000  99.999   0.000   0.000   1  754.09  211.41  -30.357  -78.030    -13.850    -78.030  20:46:50.98  -12:52:09.0
   227  99.999   0.000   0.000  22.463   0.132   0.000   1  769.57  686.75  -51.787  -82.979    -35.280    -82.979  20:46:49.55  -12:52:14.0
   227  99.999   0.000   0.000  22.484   0.162   0.000   1  535.33  575.69  -48.960  -71.660    -32.452    -71.660  20:46:49.74  -12:52:02.7
   355  24.002   0.151   0.007  99.999   0.000   0.000   1  362.29  166.85  -31.917  -60.235    -15.410    -60.235  20:46:50.87  -12:51:51.2
   355  23.884   0.147   0.000  99.999   0.000   0.000   1  594.51  771.40  -57.266  -76.014    -40.759    -76.014  20:46:49.18  -12:52:07.0
   355  24.241   0.161   0.000  99.999   0.000   0.000   1  179.68  585.45  -52.691  -55.914    -36.184    -55.914  20:46:49.49  -12:51:46.9
   355  24.018   0.167   0.000  99.999   0.000   0.000   1  666.18  620.75  -49.779  -77.859    -33.272    -77.859  20:46:49.68  -12:52:08.9
   355  23.936   0.122   0.000  99.999   0.000   0.000   1  428.31  166.87  -31.306  -63.176    -14.798    -63.176  20:46:50.91  -12:51:54.2
   355  24.141   0.149   0.000  99.999   0.000   0.000   1  697.23  417.37  -40.236  -77.410    -23.729    -77.410  20:46:50.32  -12:52:08.4
   227  99.999   0.000   0.000  22.902   0.156   0.041   1  496.77  296.45  -36.574  -67.408    -20.067    -67.408  20:46:50.56  -12:51:58.4
   355  23.873   0.207   0.000  99.999   0.000   0.000   1  442.33  318.28  -38.076  -65.180    -21.568    -65.180  20:46:50.46  -12:51:56.2
   355  24.139   0.180  -0.001  99.999   0.000   0.000   1  509.02  612.13  -50.864  -70.817    -34.357    -70.817  20:46:49.61  -12:52:01.8
   227  99.999   0.000   0.000  22.748   0.133   0.000   1  151.73  399.58  -44.484  -52.975    -27.977    -52.975  20:46:50.03  -12:51:44.0
   355  24.316   0.210   0.001  99.999   0.000   0.000   1  541.53  552.81  -47.860  -71.730    -31.353    -71.730  20:46:49.81  -12:52:02.7
   353  24.524   0.153   0.000  99.999   0.000   0.000   1  508.20  498.72  -45.705  -69.759    -29.198    -69.758  20:46:49.95  -12:52:00.8
   355  24.102   0.141   0.000  99.999   0.000   0.000   1  191.25  588.01  -52.702  -56.452    -36.195    -56.452  20:46:49.49  -12:51:47.5
   225  99.999   0.000   0.000  22.792   0.204   0.000   1  586.58  401.67  -40.546  -72.365    -24.039    -72.365  20:46:50.30  -12:52:03.4
   355  23.923   0.160   0.001  99.999   0.000   0.000   1  689.06  328.89  -36.282  -76.244    -19.775    -76.244  20:46:50.58  -12:52:07.2
   355  23.868   0.169   0.000  99.999   0.000   0.000   1  456.70  584.50  -50.095  -68.240    -33.588    -68.240  20:46:49.66  -12:51:59.2
   227  99.999   0.000   0.000  22.747   0.145   0.073   1  563.17  719.52  -55.223  -74.175    -38.716    -74.175  20:46:49.32  -12:52:05.2
   355  24.297   0.169   0.000  99.999   0.000   0.000   1  163.05  502.80  -49.085  -54.419    -32.578    -54.419  20:46:49.73  -12:51:45.4
   227  99.999   0.000   0.000  22.846   0.168   0.014   1  309.11  770.79  -59.895  -63.355    -43.388    -63.355  20:46:49.01  -12:51:54.4
   227  99.999   0.000   0.000  22.628   0.201   0.000   1  494.91  489.61  -45.413  -69.084    -28.906    -69.084  20:46:49.97  -12:52:00.1
   355  24.246   0.123   0.011  99.999   0.000   0.000   1  111.68  413.73  -45.497  -51.329    -28.989    -51.329  20:46:49.97  -12:51:42.3
   355  24.141   0.172  -0.035  99.999   0.000   0.000   1  464.71  460.32  -44.357  -67.472    -27.850    -67.472  20:46:50.04  -12:51:58.5
   355  24.028   0.142   0.005  99.999   0.000   0.000   1  469.00  584.93  -50.000  -68.791    -33.493    -68.791  20:46:49.67  -12:51:59.8
   227  99.999   0.000   0.000  23.019   0.137   0.000   1  567.99  548.58  -47.419  -72.867    -30.912    -72.867  20:46:49.84  -12:52:03.9
   353  24.054   0.171  -0.001  99.999   0.000   0.000   1  539.74  130.68  -28.640  -67.803    -12.133    -67.803  20:46:51.09  -12:51:58.8
   355  24.187   0.164   0.000  99.999   0.000   0.000   1  694.37  387.30  -38.893  -77.011    -22.386    -77.011  20:46:50.41  -12:52:08.0
   355  24.292   0.188   0.000  99.999   0.000   0.000   1  332.55  506.93  -47.713  -62.001    -31.205    -62.001  20:46:49.82  -12:51:53.0
   227  99.999   0.000   0.000  22.969   0.170   0.000   1  755.09  145.36  -27.363  -77.460    -10.856    -77.460  20:46:51.18  -12:52:08.5
   227  99.999   0.000   0.000  22.311   0.184   0.015   1  496.92  302.76  -36.861  -67.472    -20.353    -67.472  20:46:50.54  -12:51:58.5
   355  24.217   0.190   0.000  99.999   0.000   0.000   1  370.70  792.40  -60.301  -66.283    -43.794    -66.283  20:46:48.98  -12:51:57.3
   355  24.331   0.126   0.000  99.999   0.000   0.000   1  347.69  151.93  -31.376  -59.450    -14.869    -59.450  20:46:50.91  -12:51:50.5
   227  99.999   0.000   0.000  22.591   0.183   0.001   1  417.87  412.30  -42.598  -64.946    -26.091    -64.946  20:46:50.16  -12:51:55.9
   355  24.144   0.141   0.000  99.999   0.000   0.000   1  156.94  669.56  -56.708  -55.679    -40.201    -55.679  20:46:49.22  -12:51:46.7
   227  99.999   0.000   0.000  22.568   0.148   0.000   1  195.31  466.29  -47.126  -55.518    -30.618    -55.518  20:46:49.86  -12:51:46.5
   355  23.877   0.183  -0.003  99.999   0.000   0.000   1  463.52  455.31  -44.139  -67.374    -27.632    -67.374  20:46:50.06  -12:51:58.4
   355  23.793   0.146   0.001  99.999   0.000   0.000   1  684.06  544.33  -46.139  -77.970    -29.632    -77.970  20:46:49.92  -12:52:09.0
   227  99.999   0.000   0.000  22.590   0.197   0.015   1  105.66  256.22  -38.378  -49.642    -21.871    -49.642  20:46:50.44  -12:51:40.6
   355  24.095   0.132  -0.008  99.999   0.000   0.000   1  442.71  293.86  -36.957  -64.975    -20.450    -64.975  20:46:50.54  -12:51:56.0
   355  23.743   0.142   0.000  99.999   0.000   0.000   1  236.96  599.05  -52.787  -58.584    -36.280    -58.584  20:46:49.48  -12:51:49.6
   355  23.817   0.173   0.000  99.999   0.000   0.000   1   99.12  401.00  -45.033  -50.658    -28.526    -50.658  20:46:50.00  -12:51:41.7
   227  99.999   0.000   0.000  22.779   0.198   0.134   1  182.45  645.74  -55.400  -56.591    -38.893    -56.591  20:46:49.31  -12:51:47.6
   227  99.999   0.000   0.000  22.807   0.119   0.000   1  729.14  442.73  -41.095  -79.047    -24.588    -79.047  20:46:50.26  -12:52:10.0
   355  23.946   0.163   0.007  99.999   0.000   0.000   1  438.92  387.50  -41.270  -65.659    -24.763    -65.659  20:46:50.25  -12:51:56.7
   355  24.030   0.165   0.000  99.999   0.000   0.000   1  433.44  482.01  -45.638  -66.275    -29.131    -66.275  20:46:49.96  -12:51:57.3
   355  24.179   0.168  -0.001  99.999   0.000   0.000   1  428.57  465.95  -44.951  -65.912    -28.444    -65.912  20:46:50.00  -12:51:56.9
   227  99.999   0.000   0.000  22.582   0.156   0.000   1  478.91  627.95  -51.865  -69.620    -35.358    -69.620  20:46:49.54  -12:52:00.6
   355  23.949   0.162   0.000  99.999   0.000   0.000   1  329.55  556.62  -50.006  -62.320    -33.499    -62.320  20:46:49.67  -12:51:53.3
   227  99.999   0.000   0.000  22.871   0.151   0.001   1  628.99  605.03  -49.416  -76.077    -32.909    -76.077  20:46:49.71  -12:52:07.1
    11  25.514   0.090   0.000  22.162   0.033   0.000   1  181.72  299.28  -39.632  -53.398    -23.125    -53.398  20:46:50.36  -12:51:44.4
   227  99.999   0.000   0.000  22.885   0.161   0.029   1  665.10  196.38  -30.478  -73.966    -13.971    -73.966  20:46:50.97  -12:52:05.0
